id,value
261173,173
104775,775
14972,972
212780,780
47455,455
240361,361
281872,872
325646,646
417078,78
18132,132
168999,999
294125,125
118281,281
366764,764
400155,155
180084,84
388691,691
372891,891
194007,7
113224,224
94272,272
46388,388
403477,477
136571,571
111740,740
328793,793
396307,307
128793,793
153101,101
180889,889
315586,586
350828,828
284060,60
307579,579
488903,903
476290,290
486675,675
100845,845
386426,426
453036,36
308553,553
198540,540
229466,466
128360,360
453249,249
19173,173
374000,0
465542,542
274279,279
281171,171
106703,703
470994,994
104141,141
184963,963
395037,37
186791,791
411130,130
256465,465
230510,510
295560,560
361876,876
4984,984
428410,410
183186,186
223716,716
411728,728
451805,805
107382,382
307105,105
208171,171
96144,144
158872,872
398838,838
204660,660
237173,173
204065,65
469670,670
292004,4
445483,483
459499,499
220573,573
283190,190
122442,442
473403,403
365280,280
302116,116
108592,592
477354,354
428064,64
266242,242
93592,592
37797,797
371883,883
385324,324
287722,722
488917,917
219269,269
156041,41
36049,49
456844,844
317794,794
5508,508
13851,851
184255,255
103310,310
287408,408
1818,818
441986,986
33083,83
258142,142
155795,795
21274,274
245506,506
436154,154
451864,864
314462,462
341856,856
289792,792
122602,602
462597,597
440845,845
74553,553
78768,768
225149,149
80036,36
399759,759
63560,560
36553,553
14670,670
291968,968
486131,131
158248,248
4447,447
432047,47
7522,522
119766,766
462616,616
169844,844
142458,458
122359,359
33031,31
28836,836
373779,779
149746,746
237167,167
125652,652
181944,944
274046,46
299166,166
461827,827
18961,961
398531,531
317338,338
121310,310
130898,898
414322,322
178921,921
44157,157
117975,975
317117,117
384213,213
192009,9
273027,27
12975,975
148193,193
275919,919
489233,233
318857,857
41122,122
354931,931
121373,373
368555,555
156016,16
292149,149
283206,206
247528,528
448526,526
481390,390
111175,175
19268,268
189606,606
45175,175
309309,309
407570,570
405443,443
420659,659
124472,472
39955,955
474029,29
234520,520
219194,194
190148,148
166331,331
60127,127
327864,864
252097,97
1748,748
310675,675
273533,533
201302,302
17773,773
334889,889
267325,325
260251,251
284662,662
463335,335
347257,257
343490,490
475275,275
425562,562
173677,677
7702,702
265522,522
200256,256
74539,539
325765,765
474534,534
283138,138
485805,805
242888,888
165879,879
125859,859
350709,709
107502,502
108680,680
175224,224
194373,373
180102,102
23647,647
78047,47
465708,708
89364,364
491815,815
313404,404
263653,653
495487,487
355944,944
194923,923
103729,729
164922,922
376851,851
