id,value
148308,308
393415,415
307769,769
484328,328
4784,784
484960,960
178296,296
410801,801
287402,402
393587,587
326071,71
323858,858
147971,971
252155,155
306054,54
14104,104
356123,123
230343,343
148338,338
139659,659
89669,669
49509,509
270617,617
125452,452
420471,471
390733,733
90684,684
99549,549
301087,87
466821,821
171214,214
145846,846
480727,727
369331,331
298561,561
429668,668
421680,680
433755,755
431373,373
289729,729
280407,407
322638,638
288187,187
281216,216
463530,530
284609,609
135490,490
119865,865
187801,801
71061,61
302741,741
45578,578
19746,746
18187,187
246549,549
449710,710
259209,209
283084,84
15597,597
471953,953
217048,48
190209,209
354144,144
247491,491
274327,327
83405,405
54210,210
420355,355
207550,550
196364,364
278612,612
271138,138
201780,780
78079,79
254081,81
317697,697
328142,142
268961,961
11804,804
380948,948
188256,256
446859,859
151212,212
176632,632
86280,280
50250,250
156526,526
106949,949
106770,770
399474,474
221404,404
334922,922
271428,428
87331,331
151145,145
102930,930
67128,128
39120,120
403727,727
130309,309
185567,567
284145,145
332311,311
368772,772
356273,273
123937,937
483258,258
171956,956
447041,41
372203,203
102881,881
339037,37
466097,97
337795,795
32453,453
473226,226
329556,556
237001,1
230735,735
246670,670
315587,587
461983,983
191438,438
356011,11
300402,402
431040,40
171218,218
92075,75
126488,488
94029,29
208638,638
227249,249
10903,903
99695,695
433898,898
79388,388
376849,849
427797,797
217472,472
241684,684
316324,324
375112,112
217061,61
70529,529
97970,970
162294,294
142190,190
450897,897
22337,337
57666,666
7949,949
412207,207
20218,218
308761,761
428082,82
391655,655
414701,701
423812,812
298185,185
203629,629
363633,633
126028,28
362633,633
88473,473
339647,647
121331,331
1768,768
204124,124
128463,463
140089,89
309827,827
419360,360
130132,132
356865,865
435828,828
76772,772
488315,315
103537,537
60694,694
489339,339
214477,477
317418,418
135247,247
138631,631
242355,355
87679,679
375120,120
23276,276
239353,353
208240,240
218051,51
36316,316
345532,532
340936,936
19635,635
177605,605
396521,521
120775,775
101990,990
173462,462
457998,998
189512,512
203869,869
378231,231
35727,727
317591,591
191936,936
403631,631
151751,751
164613,613
172064,64
368632,632
218007,7
275299,299
368402,402
470421,421
227476,476
63012,12
244583,583
276162,162
310590,590
4036,36
162178,178
203147,147
288962,962
134006,6
294981,981
419615,615
38944,944
273264,264
392818,818
173367,367
218486,486
129199,199
59440,440
47020,20
209825,825
87378,378
41647,647
92892,892
400088,88
447549,549
194560,560
357018,18
491658,658
489909,909
426004,4
115207,207
65283,283
298449,449
262825,825
183755,755
259820,820
270587,587
299213,213
